movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,production_budget,worldwide_gross,release_date
tt1840309,divergent,2014,139.0,"Action,Adventure,Mystery",6.7,399703,LG/S,150900000.0,137900000.0,85000000.0,276014965.0,2014-03-21
tt1840417,the words,2012,102.0,"Drama,Mystery,Romance",7.1,70308,CBS,11500000.0,1700000.0,6000000.0,16369708.0,2012-09-07
tt1843866,captain america: the winter soldier,2014,136.0,"Action,Adventure,Sci-Fi",7.8,666252,BV,259800000.0,454500000.0,170000000.0,714401889.0,2014-04-04
tt1846800,trash,2010,87.0,Action,7.2,8,FCW,17500.0,4800000.0,12000000.0,6553186.0,2015-10-09
tt1921149,trash,2014,114.0,"Adventure,Crime,Drama",7.2,18690,FCW,17500.0,4800000.0,12000000.0,6553186.0,2015-10-09
tt1850457,sisters,2015,118.0,Comedy,6.0,58994,Uni.,87000000.0,18000000.0,30000000.0,106030660.0,2015-12-18
tt2612800,sisters,2013,84.0,Drama,5.7,37,Uni.,87000000.0,18000000.0,30000000.0,106030660.0,2015-12-18
tt9851050,sisters,2019,87.0,"Action,Drama",4.7,14,Uni.,87000000.0,18000000.0,30000000.0,106030660.0,2015-12-18
tt1853728,django unchained,2012,165.0,"Drama,Western",8.4,1211405,Wein.,162800000.0,262600000.0,100000000.0,449948323.0,2012-12-25
tt1854564,percy jackson: sea of monsters,2013,106.0,"Adventure,Family,Fantasy",5.8,102313,Fox,68600000.0,131300000.0,90000000.0,200859554.0,2013-08-07
tt1855199,end of watch,2012,109.0,"Action,Crime,Drama",7.6,211308,ORF,41000000.0,7100000.0,15000000.0,57586606.0,2012-09-21
tt1855325,resident evil: retribution,2012,95.0,"Action,Horror,Sci-Fi",5.4,125191,SGem,42300000.0,197700000.0,65000000.0,240647629.0,2012-09-14
tt1856101,blade runner 2049,2017,164.0,"Drama,Mystery,Sci-Fi",8.0,376241,WB,92100000.0,167200000.0,185000000.0,259357408.0,2017-10-06
tt1859650,to rome with love,2012,112.0,"Comedy,Music,Romance",6.3,79381,SPC,16700000.0,56600000.0,21500000.0,74326015.0,2012-06-22
tt1860213,dirty grandpa,2016,102.0,Comedy,5.9,101393,LGF,35600000.0,58500000.0,11500000.0,105078449.0,2016-01-22
tt1860353,turbo,2013,96.0,"Adventure,Animation,Comedy",6.4,74639,Fox,83000000.0,199500000.0,135000000.0,286896578.0,2013-07-17
tt1860357,deepwater horizon,2016,107.0,"Action,Drama,History",7.1,133303,LG/S,61400000.0,60400000.0,156000000.0,122603824.0,2016-09-30
tt1866249,the sessions,2012,95.0,"Biography,Comedy,Drama",7.2,39731,FoxS,6000000.0,3100000.0,1000000.0,11495204.0,2012-10-19
tt1869716,the east,2013,116.0,"Adventure,Drama,Thriller",6.8,46804,FoxS,2300000.0,99700.0,6500000.0,3027956.0,2013-05-31
tt1872181,the amazing spider-man 2,2014,142.0,"Action,Adventure,Sci-Fi",6.6,388363,Sony,202900000.0,506100000.0,200000000.0,708996336.0,2014-05-02
tt1872194,the judge,2014,141.0,"Crime,Drama",7.4,162952,WB,47100000.0,37300000.0,50000000.0,76119388.0,2014-10-10
tt6246092,the judge,2017,76.0,Documentary,7.3,84,WB,47100000.0,37300000.0,50000000.0,76119388.0,2014-10-10
tt1877832,x-men: days of future past,2014,132.0,"Action,Adventure,Sci-Fi",8.0,620079,Fox,233900000.0,513900000.0,200000000.0,747862775.0,2014-05-23
tt1878870,the edge of seventeen,2016,104.0,"Comedy,Drama",7.3,87602,STX,14400000.0,4400000.0,9000000.0,19096003.0,2016-11-18
tt1895587,spotlight,2015,129.0,"Crime,Drama",8.1,365110,ORF,45100000.0,53200000.0,20000000.0,92088460.0,2015-11-06
tt7785302,spotlight,2015,99.0,Drama,8.0,12,ORF,45100000.0,53200000.0,20000000.0,92088460.0,2015-11-06
tt1904996,parker,2013,118.0,"Action,Crime,Thriller",6.2,105529,FD,17600000.0,28600000.0,35000000.0,48543388.0,2013-01-25
